Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Netherlands,Guyana,Export,Food Products,Export (US$ Thousand),239.113,251.695,242.328,288.948,157.152,223.584,272.687,428.707,577.162,815.135,1173.432,1495.221,2440.923,1263.566,2346.845,2342.039,2708.439,1894.795,2518.671,2380.654,2633.457,3194.87
Netherlands,Haiti,Export,Food Products,Export (US$ Thousand),495.43,598.803,436.495,332.213,593.7,565.632,1240.238,1897.06,740.093,1093.712,2165.466,937.624,3264.516,2532.106,4697.46,5218.107,4728.718,3991.903,7095.781,9998.414,12425.464,9350.304
Netherlands,Heard Island and McDonald Isla,Export,Food Products,Export (US$ Thousand),,,,,,,,,,,,,,,,,,,37.137,,,
Netherlands,Holy See,Export,Food Products,Export (US$ Thousand),,,,,,,,,394.901,710.331,59.522,143.641,29.859,654.169,7.538,56.286,94.309,20.929,9.284,,,0.011
Netherlands,Honduras,Export,Food Products,Export (US$ Thousand),313.504,379.919,789.487,1153.14,1765.947,2336.388,1956.313,1963.763,2419.111,3718.263,3225.523,4273.029,5544.951,5945.975,7235.271,6386.382,6751.943,7403.369,5345.047,9376.408,6089.482,5875.812
Netherlands,"Hong Kong, China",Export,Food Products,Export (US$ Thousand),36880.897,60004.263,75702.901,112549.633,120742.939,117756.593,63907.079,60347.089,62016.843,70479.498,71103.238,67637.814,68261.243,62581.353,76439.589,83016.103,107121.896,141789.999,237705.985,442010.537,545935.144,743172.73
Netherlands,Hungary,Export,Food Products,Export (US$ Thousand),13274.665,17573.397,24177.742,35490.643,24035.977,50877.557,32714.023,31855.277,36686.148,33306.717,45515.407,60900.274,76656.427,106935.513,95890.271,107978.18,144203.062,141802.555,150820.478,187820.318,143266.981,217885.601
Netherlands,Iceland,Export,Food Products,Export (US$ Thousand),5788.953,5014.428,4883.876,4943.725,6395.19,6375.3,6742.546,7332.553,7625.534,8982.593,10372.884,15042.691,18175.047,20833.918,21541.233,29340.017,26453.707,25193.221,28050.215,32244.897,34023.802,46647.348
Netherlands,India,Export,Food Products,Export (US$ Thousand),1102.627,1160.244,1371.895,1675.46,2176.533,3202.511,2493.086,2908.646,5733.878,6076.775,8048.692,7771.303,10282.482,18750.776,20458.264,30354.534,32713.477,29316.279,41879.691,55406.525,57536.708,61768.095
Netherlands,Indonesia,Export,Food Products,Export (US$ Thousand),8246.535,10143.624,8886.888,6489.98,8537.686,14343.467,7457.117,17441.426,31430.937,33479.598,43096.737,58879.125,68627.01,42861.76,49762.434,42210.251,54143.748,65281.079,42617.123,52951.745,56351.932,67895.567
